ROL3,Language,Status,NbrPGICs,NbrCountries,JPScale,LeastReached,JPPopulation,BibleStatus,TranslationNeedQuestionable,BibleYear,NTYear,PortionsYear,JF,AudioRecordings,YouVersion_ID,RLG3,PrimaryReligion,PercentAdherents,PercentEvangelical
buu,Budu,L,1,1,5,N,374000,2,N,,,2000-2009,Y,Y,,1,Christianity,90,33
bdk,Budukh,L,1,1,1,Y,1060,1,N,,,,N,N,,6,Islam,0.1,0
bdm,Buduma,L,2,2,1,Y,146000,1,N,,,,N,Y,,6,Islam,0.03,0.02
bja,Budza,L,1,1,5,N,582000,0,Y,,,,N,Y,,1,Christianity,100,25
bbh,Bugan,L,1,1,1,Y,2900,0,Y,,,,N,N,,4,Ethnic Religions,0,0
buk,Bugawac,L,1,1,5,N,13700,3,N,,2001,1996,N,Y,1039,1,Christianity,99,16
bgt,Bughotu,L,1,1,5,N,5960,3,N,,1914-2009,1885-1923,N,Y,,1,Christianity,97,34
bug,Bugis,L,3,3,1,Y,6643000,4,N,1900-1997,1888,1863-1994,Y,Y,,6,Islam,0.54,0.39
sab,Buglere,L,1,1,5,N,29200,3,N,,1988-2009,1980,Y,Y,671,1,Christianity,75,17
bgg,Bugun,L,1,,3,N,1110,1,N,,,,N,Y,,2,Buddhism,16.98,
bku,Buhid,L,1,1,4,N,13200,3,N,,1988,1981,N,Y,,1,Christianity,55,7.5
bxh,Buhutu,L,1,1,5,N,1860,2,N,,,2012,N,Y,,1,Christianity,100,22
bvk,Bukat,L,1,1,1,Y,710,1,N,,,,N,N,,4,Ethnic Religions,4,0.6
bhh,Bukharic,L,3,3,1,Y,102000,0,Y,,,,N,N,,4,Ethnic Religions,0,0
bkn,Bukitan,L,2,2,4,N,1040,1,N,,,,N,N,,1,Christianity,63.26,4.65
ape,Bukiyip,L,1,1,5,N,22300,3,N,,1994-2003,1976-2002,N,Y,1005,1,Christianity,99,18
tkb,Buksa,L,2,,1,Y,65100,1,N,,,,Y,Y,,5,Hinduism,0.05,
buz,Bukwen,L,1,1,4,N,1000,1,N,,,,N,N,,4,Ethnic Religions,8,3
bul,Bulgarian,L,47,39,2,N,7878000,4,N,1864-1923,1840-2000,1823-1995,Y,Y,23,1,Christianity,84.94,1.83
bqn,Bulgarian Sign Language,L,1,1,,N,,1,N,,,,N,N,,,,,
bmp,Bulgebi,L,1,1,5,N,80,0,Y,,,,N,N,,1,Christianity,100,21
bwu,Buli,L,1,1,4,N,186000,3,N,,1996,1962-2005,Y,Y,,4,Ethnic Religions,7,4
bzq,Buli,L,1,1,4,N,3220,1,N,,,,N,N,,6,Islam,34,4
buy,Bullom So,L,1,1,1,Y,10400,2,Y,,,1816,N,N,,6,Islam,5,1.8
bjl,Bulu,L,1,1,5,N,1350,1,N,,,,N,N,,1,Christianity,100,16
bum,Bulu,L,2,2,4,N,1149000,4,N,1940-2004,1926,1896-1991,Y,Y,856,1,Christianity,71.95,9.01
bmv,Bum,L,1,1,5,N,34500,2,N,,,2008,N,Y,,1,Christianity,74,20
byp,Bumaji,L,1,1,5,N,18100,1,N,,,,N,N,,1,Christianity,75,16
bvp,Bumang,L,1,1,1,Y,220,1,N,,,,N,N,,4,Ethnic Religions,0,0
kjz,Bumthangkha,L,1,,1,Y,20500,2,N,,,1938,N,N,,2,Buddhism,0.58,
buv,Bun,L,1,1,4,N,670,0,Y,,,,N,N,,4,Ethnic Religions,40,6
bvn,Buna,L,1,1,5,N,1040,1,N,,,,N,N,,1,Christianity,80,12
bck,Bunaba,N,1,1,2,N,140,0,Y,,,,N,N,,1,Christianity,75,2
bfn,Bunak,L,2,2,4,N,83200,1,N,,,,N,N,,4,Ethnic Religions,17.98,2.3
bdd,Bunama,L,1,1,5,N,8060,3,N,,1991,1978-1986,N,Y,1007,1,Christianity,95,21
bns,Bundeli,L,241,,1,Y,2632000,2,N,,,Yes,Y,Y,,5,Hinduism,0.04,
bqd,Bung,N,,,,N,,0,Y,,,,N,N,,,,,
but,Bungain,L,1,1,5,N,4970,0,Y,,,,N,N,,1,Christianity,95,16
bkz,Bungku,L,1,1,1,Y,33700,1,N,,,,N,Y,,6,Islam,0,0
wun,Bungu,L,1,1,2,N,83200,1,N,,,,N,N,,1,Christianity,80,0
bwx,"Bunu, Bu-Nao",L,7,1,1,Y,842000,1,N,,,,N,Y,,4,Ethnic Religions,0.01,0.01
pnu,"Bunu, Jiongnai",L,1,1,4,N,2370,0,Y,,,,N,Y,,4,Ethnic Religions,4.5,4.5
bwn,"Bunu, Wunai",L,1,1,1,Y,12500,0,Y,,,,N,N,,4,Ethnic Religions,0,0
buh,"Bunu, Younuo",L,1,1,1,Y,21700,0,Y,,,,N,Y,,4,Ethnic Religions,0,0
bnn,Bunun,L,2,2,5,N,51200,4,N,2000,1964-1983,1952-1990,N,Y,,1,Christianity,72.85,13.6
blf,Buol,L,1,1,1,Y,105000,1,N,,,,N,Y,,6,Islam,0.03,0.01
bwr,Bura-Pabir,L,1,1,4,N,460000,3,N,,1937-1987,1925-1937,Y,Y,,4,Ethnic Religions,5,3
bys,Burak,L,1,1,5,N,7210,2,N,,,2008,Y,Y,,4,Ethnic Religions,20,12
bkg,Buraka,L,2,2,5,N,5550,1,N,,,,N,Y,,4,Ethnic Religions,37.88,14.73
bvr,Burarra,L,1,1,5,N,1270,3,N,,1991,1972-1980,N,Y,1291,1,Christianity,55,21
bti,Burate,L,1,1,3,N,170,1,N,,,,N,N,,4,Ethnic Religions,10,2
bvh,Bure,N,1,1,3,N,700,1,N,,,,N,Y,,4,Ethnic Religions,10,1
bxu,"Buriat, China",L,1,1,1,Y,164000,0,Y,,,,N,N,,2,Buddhism,1,0.9
bxm,"Buriat, Mongolia",L,1,1,1,Y,47600,2,Y,,,2004,N,N,,2,Buddhism,2.5,1.9
bxr,"Buriat, Russia",L,3,3,3,N,465000,4,N,1846,1840,1819-1998,Y,Y,,2,Buddhism,13.98,0.99
bji,Burji,L,2,2,5,N,131000,3,N,,1993,Yes,N,Y,,1,Christianity,58.99,31.7
mya,Burmese,L,20,16,1,Y,31600000,4,N,1835-2006,1832-1987,1815-1985,Y,Y,386,2,Buddhism,0.37,0.07
bzu,Burmeso,L,1,1,4,N,320,1,N,,,,N,Y,,1,Christianity,60,5
bqw,Buru,L,1,1,5,N,1390,1,N,,,,N,Y,,4,Ethnic Religions,25,15
mhs,Buru,L,1,1,3,N,49000,2,N,,,1904-1998,N,Y,,4,Ethnic Religions,12,2
bry,Burui,L,1,1,5,N,390,1,N,,,,N,N,,1,Christianity,80,21
aip,Burumakok,N,,,,N,,0,Y,,,,N,N,,,,,
bdi,Burun,L,1,1,1,Y,47300,2,N,,,2006-2011,N,Y,,6,Islam,0,0
bds,Burunge,L,1,1,4,N,31500,2,N,,,2008-2011,Y,N,,4,Ethnic Religions,15,4
bsk,Burushaski,L,5,,1,Y,223000,1,N,,,,N,Y,,6,Islam,0.01,
bqr,Burusu,L,1,1,3,N,5160,0,Y,,,,N,Y,,4,Ethnic Religions,30,1
asi,Buruwai,L,1,1,2,N,5280,0,Y,,,,N,Y,,1,Christianity,65,2
bqp,Busa,L,1,1,1,Y,15000,3,N,,2004,1993-1998,N,N,,6,Islam,1,0.05
bxs,Busam,L,1,1,2,N,2470,1,N,,,,N,Y,,1,Christianity,70,1.5
bsm,Busami,L,1,1,4,N,990,0,Y,,,,N,N,,4,Ethnic Religions,14,8
buc,Bushi,L,2,2,1,Y,62900,1,N,,,,N,N,,6,Islam,0,0
buf,Bushoong,L,1,1,4,N,245000,4,N,1927-1932,Yes,Yes,N,Y,,1,Christianity,99,8
bso,Buso,N,,,,N,,0,Y,,,,N,N,,,,,
bup,Busoa,L,1,1,1,Y,2980,0,Y,,,,N,N,,6,Islam,4,1.5
dox,Bussa,L,1,1,5,N,28300,1,N,,,,N,Y,,1,Christianity,95,51.5
bju,Busuu,N,,,,N,,0,Y,,,,N,N,,,,,
bnr,Butmas-Tur,L,1,1,5,N,1170,1,N,,,,N,N,,1,Christianity,90,41
btw,Butuanon,L,1,1,4,N,58300,0,Y,,,,N,N,,1,Christianity,95,9
bhs,Buwal,L,1,1,3,N,11300,1,N,,,,N,Y,,4,Ethnic Religions,35,1.2
yha,"Buyang, Baha",L,1,1,1,Y,700,0,Y,,,,N,N,,4,Ethnic Religions,0,0
yzg,"Buyang, E'ma",N,1,1,1,Y,640,0,Y,,,,N,N,,4,Ethnic Religions,0,0
yln,"Buyang, Langnian",N,1,1,1,Y,350,0,Y,,,,N,N,,4,Ethnic Religions,0,0
byi,Buyu,L,1,1,5,N,15700,1,N,,,,N,Y,,1,Christianity,96,23
bww,Bwa,L,1,1,5,N,373000,2,N,,,1938,N,Y,,1,Christianity,95,26
bwd,Bwaidoka,L,1,1,5,N,9680,2,N,,,1934-2006,N,Y,,1,Christianity,100,20
bwy,"Bwamu, Cwi",L,1,1,5,N,38500,1,N,,,,N,N,,4,Ethnic Religions,28.29,14
bwj,"Bwamu, Laa Laa",L,1,1,5,N,108000,2,N,,,1977-1995,N,N,,4,Ethnic Religions,28.29,14
tte,Bwanabwana,L,1,1,5,N,3010,3,N,,2004,1928-2007,N,Y,1220,1,Christianity,100,22
bwa,Bwatoo,L,1,1,5,N,160,1,N,,,,N,N,,1,Christianity,100,13
bwl,Bwela,L,1,1,4,N,13000,1,N,,,,N,Y,,1,Christianity,98,4
bwc,Bwile,L,2,2,5,N,69500,1,N,,,,N,N,,1,Christianity,95.28,14.51
bwz,Bwisi,L,2,2,4,N,6840,0,Y,,,,N,N,,1,Christianity,75,8
bee,Byangsi,L,4,,1,Y,2920,1,N,,,,N,Y,,5,Hinduism,0,
mkk,Byep,L,1,1,4,N,21500,1,N,,,,N,Y,,1,Christianity,59,4
dri,C'lela,L,2,1,4,N,158000,2,N,,,1931-2005,Y,Y,,4,Ethnic Religions,19.9,2.98
msq,Caac,L,1,1,4,N,1280,1,N,,,,N,N,,1,Christianity,100,7
cjp,Cabecar,L,1,1,5,N,11500,3,N,,1993,1968-1984,N,Y,,1,Christianity,95,14
cbb,Cabiyari,L,1,1,4,N,300,0,Y,,,,N,N,,1,Christianity,80,6
cbv,Cacua,L,1,1,4,N,1550,3,N,,2004,1975,N,Y,777,1,Christianity,70,7
cad,Caddo,N,1,1,4,N,3950,0,Y,,,,N,N,,1,Christianity,70,5
ccd,Cafundo Creole,N,,,,N,,0,Y,,,,N,N,,,,,
chl,Cahuilla,N,1,1,4,N,1160,0,Y,,,,N,Y,,1,Christianity,60,5
nat,Cahungwarya,L,1,1,4,N,30100,1,N,,,,N,Y,,4,Ethnic Religions,25,5
ckx,Caka,L,1,1,2,N,13000,1,N,,,,N,Y,,1,Christianity,70,1.3
cky,Cakfem-Mushere,L,1,1,3,N,9350,1,N,,,,N,Y,,4,Ethnic Religions,10,1
caw,Callawalla,N,,,,N,,1,N,,,,N,N,,,,,
rmq,Calo,L,6,6,4,N,917000,2,Y,,,1837-1872,Y,N,1412,1,Christianity,93.85,9.09
clu,Caluyanun,L,1,1,5,N,46200,3,N,,1990,1981,N,Y,1128,1,Christianity,95,12
cml,Campalagian,L,1,1,1,Y,72400,1,N,,,,N,N,,6,Islam,1,0
kbh,Camsa,L,1,1,4,N,4970,3,N,,1990-2009,1973,N,Y,1085,4,Ethnic Religions,40,3.7
cmt,Camtho,N,,,,N,,1,N,,,,N,N,,,,,
ram,Canela,L,1,1,5,N,2680,3,N,,1990,1976-1981,Y,Y,,4,Ethnic Religions,40,22
caz,Canichana,N,,,,N,,1,N,,,,N,Y,,,,,
mlc,Cao Lan,L,2,2,4,N,236000,1,N,,,,N,N,,4,Ethnic Religions,7.9,5.02
cov,Cao Miao,L,1,1,1,Y,54700,0,Y,,,,N,Y,,4,Ethnic Religions,0,0
kaq,Capanahua,L,1,1,3,N,480,3,N,,1978-2008,1968-1973,N,Y,586,4,Ethnic Religions,10,0.3
cps,Capiznon,L,1,1,5,N,869000,0,Y,,,,N,N,,1,Christianity,99,13
cpg,Cappadocian Greek,N,,,,N,,1,N,,,,N,N,,,,,
cot,Caquinte,L,1,1,3,N,370,3,N,,2005-2008,1984-1991,N,N,566,4,Ethnic Religions,30,0.4
cfd,Cara,L,1,1,4,N,5140,1,N,,,,N,Y,,4,Ethnic Religions,25,5
cby,Carabayo,L,1,1,1,Y,160,0,Y,,,,N,N,,4,Ethnic Religions,1,0
cbc,Carapana,L,2,2,4,N,930,3,N,,1992-2012,1977-1991,N,Y,533,1,Christianity,78.98,6.94
car,Carib,L,7,6,4,N,63500,3,N,,2003,1994,Y,Y,237,1,Christianity,59.96,3.08
cbd,Carijona,N,1,1,3,N,370,0,Y,,,,N,Y,,4,Ethnic Religions,10,0.8
cal,Carolinian,L,3,3,5,N,5040,1,N,,,,N,N,,1,Christianity,93.91,14.74
crx,Carrier,L,1,1,5,N,1590,3,N,,1995-2011,1975-1995,N,Y,603,1,Christianity,96,19
caf,"Carrier, Southern",N,1,1,5,N,680,3,N,,2002,1997,N,Y,537,1,Christianity,96,19
cat,Catalan,L,11,10,2,N,4219000,4,N,1478-1993,1832-1988,1928-1985,Y,Y,335,1,Christianity,82.62,0.44
csc,Catalan Sign Language,L,,,,N,,1,N,,,,N,N,,,,,
chc,Catawba,N,,,,N,,1,N,,,,N,N,,,,,
cav,Cavinena,L,1,1,3,N,2860,3,N,,1985-2012,1979,N,Y,538,4,Ethnic Religions,16,1
cyb,Cayubaba,N,,,,N,,0,Y,,,,N,Y,,,,,
cay,Cayuga,N,2,2,4,N,4860,0,Y,,,,N,Y,,1,Christianity,91.49,9.74
ceb,Cebuano,L,4,4,5,N,21249000,4,N,1917-1981,1908-2002,1902-1956,Y,Y,9,1,Christianity,98.99,14.99
cam,Cemuhi,L,1,1,5,N,2840,2,N,,,2010,N,N,,1,Christianity,100,20
cen,Cen,L,1,1,5,N,66300,2,Y,,,2012,N,N,,1,Christianity,51,30
cet,Centuum,N,1,1,4,N,390,0,Y,,,,N,N,,4,Ethnic Religions,20,6
cme,Cerma,L,2,2,4,N,128000,3,N,,2011,1995-2011,Y,Y,379,4,Ethnic Religions,13.92,7.51
caa,Ch'orti',L,1,1,4,N,44800,3,N,,1997-2012,1969-1981,N,Y,524,1,Christianity,97,6
cbi,Chachi,L,1,1,3,N,9910,3,N,,2008,1964-2007,Y,Y,535,4,Ethnic Religions,8,1.2
cao,Chacobo,L,1,1,4,N,1120,3,N,,1979-2010,1965,N,Y,536,1,Christianity,70,6
cds,Chadian Sign Language,L,1,1,,N,,1,N,,,,N,N,,,,,
cdy,Chadong,L,1,1,1,Y,22300,0,Y,,,,N,N,,4,Ethnic Religions,0,0
ciy,Chaima,N,,,,N,,0,Y,,,,N,N,,,,,
ckh,Chak,L,2,2,1,Y,4960,1,N,,,,N,Y,,2,Buddhism,0.15,0.07
cli,Chakali,L,1,1,1,Y,8590,0,Y,,,,N,Y,,4,Ethnic Religions,3,1.5
ccp,Chakma,L,2,,3,N,453000,3,N,,1926-1991,1924-1955,Y,Y,,2,Buddhism,12.56,
cll,Chala,L,1,1,1,Y,4290,0,Y,,,,N,Y,,4,Ethnic Religions,5,1
cld,Chaldean Neo-Aramaic,L,6,6,2,N,206000,3,N,,2006,1992,Y,Y,,1,Christianity,93.01,1.01
tgf,Chalikha,L,1,,1,Y,1620,1,N,,,,N,N,,2,Buddhism,0,
cjm,"Cham, Eastern",L,1,1,1,Y,85100,2,N,,,1973,Y,Y,,5,Hinduism,5,1.1
cja,"Cham, Western",L,7,7,1,Y,293000,1,N,,,,Y,Y,,6,Islam,0.02,0
ceg,Chamacoco,L,2,2,4,N,2010,3,N,,2001,1992-1995,N,Y,,4,Ethnic Religions,44.49,2.02
cji,Chamalal,L,1,1,1,Y,9720,1,N,,,,N,N,,6,Islam,0.5,0.05
cdg,Chamari,L,,,,N,,0,Y,,,,N,N,,,,,
cdh,Chambeali,L,101,,1,Y,183000,2,N,,,1883-1979,Y,Y,,5,Hinduism,0.21,
can,Chambri,L,1,1,5,N,3400,1,N,,,,N,Y,,1,Christianity,70,14
ccc,Chamicuro,N,1,1,2,N,100,0,Y,,,,N,N,,1,Christianity,90,0.5
rab,Chamling,L,22,,1,Y,78900,1,N,,,,Y,Y,,8,Other / Small,0.61,
cha,Chamorro,L,4,4,5,N,103000,3,N,,2007,1908-1992,Y,N,,1,Christianity,98.43,15.62
cga,Changriwa,L,1,1,4,N,950,1,N,,,,N,N,,4,Ethnic Religions,30,5
cna,Changthang,L,3,,1,Y,7050,1,N,,,,N,Y,,2,Buddhism,0.04,
chx,Chantyal,L,2,,1,Y,4250,1,N,,,,N,Y,,5,Hinduism,2.47,
cra,Chara,L,1,1,1,Y,19000,1,N,,,,N,Y,,4,Ethnic Religions,1.9,1.9
cly,"Chatino, Eastern Highland",L,1,1,2,N,2350,3,N,,2012,Yes,N,Y,,1,Christianity,95,0.4
cya,"Chatino, Nopala",L,1,1,4,N,11700,3,N,,2000,Yes,Y,Y,1249,1,Christianity,96,8
cta,"Chatino, Tataltepec",L,1,1,4,N,550,3,N,,1981,1974,N,Y,773,1,Christianity,95,6
ctp,"Chatino, Western Highland",L,2,1,2,N,41800,3,N,,1992,1966-1991,N,Y,730,1,Christianity,95,1.95
ctz,"Chatino, Zacatepec",L,1,1,4,N,590,1,N,,,,N,Y,,1,Christianity,95,10
czn,"Chatino, Zenzontepec",L,1,1,4,N,21400,1,N,,,,Y,Y,,1,Christianity,95,3.5
cdn,Chaudangsi,L,5,,1,Y,2530,1,N,,,,N,Y,,5,Hinduism,0,
crv,Chaura,L,1,,1,Y,2220,0,Y,,,,N,Y,,5,Hinduism,0,
cbk,Chavacano,L,1,1,4,N,483000,3,N,,1981,1977,Y,Y,1129,1,Christianity,95,8
che,Chechen,L,18,17,1,Y,1807000,4,N,2012,2007,1986-2007,Y,Y,,6,Islam,0,0
cea,"Chehalis, Lower",N,,,,N,,1,N,,,,N,N,,,,,
cjh,"Chehalis, Upper",N,,,,N,,1,N,,,,N,N,,,,,
mrn,Cheke Holo,L,1,1,5,N,15900,3,N,,1993,1990-1992,N,Y,,1,Christianity,97,34
cjn,Chenapian,L,1,1,3,N,250,1,N,,,,N,N,,4,Ethnic Religions,15,2
cde,Chenchu,L,1,,1,Y,30300,1,N,,,,N,Y,,5,Hinduism,1.09,
cnu,Chenoua,L,1,1,1,Y,90800,1,N,,,,N,N,,6,Islam,0,0
cdm,Chepang,L,4,,3,N,48900,3,N,,1993,1977,N,Y,,5,Hinduism,10.7,
ycp,Chepya,L,1,1,1,Y,2370,1,N,,,,N,N,,2,Buddhism,0,0
cwg,Cheq Wong,L,1,1,1,Y,510,0,Y,,,,N,N,,4,Ethnic Religions,0.5,0.49
cpn,Cherepon,L,1,1,5,N,146000,0,Y,,,,N,N,,1,Christianity,80,22
chr,Cherokee,L,1,1,4,N,300000,3,N,,1850-1951,1829-1953,N,Y,,1,Christianity,65,5
ych,Chesu,L,1,1,1,Y,3580,0,Y,,,,N,N,,4,Ethnic Religions,0.5,0.5
ctc,Chetco,N,,,,N,,0,Y,,,,N,N,,,,,
ctt,"Chetti, Wayanad",L,,,,N,,1,N,,,,N,Y,,,,,
chy,Cheyenne,L,1,1,4,N,12200,3,N,,1934-2007,1902-1998,N,Y,,1,Christianity,65,7
hne,Chhattisgarhi,L,358,,1,Y,15131000,3,N,,2005,1904-1952,Y,Y,,5,Hinduism,0.95,
ctn,Chhintang,L,10,,1,Y,3700,1,N,,,,N,N,,8,Other / Small,0.54,
cur,Chhulung,L,6,,1,Y,2220,1,N,,,,N,N,,5,Hinduism,0.45,
csd,Chiangmai Sign Language,N,,,,N,,0,Y,,,,N,N,,,,,
cip,Chiapanec,N,,,,N,,1,N,,,,N,N,,,,,
nya,Chichewa,L,8,7,5,N,13655000,4,Y,1905-1997,1886-1960,1884-1964,Y,Y,1068,1,Christianity,78.92,24.98
pei,Chichimeco-Jonaz,L,1,1,4,N,1840,0,Y,,,,N,Y,,1,Christianity,95,5
coh,Chichonyi-Chidzihana-Chikauma,L,1,1,5,N,172000,1,N,,,,N,Y,,1,Christianity,50,12
cic,Chickasaw,N,1,1,4,N,29900,0,Y,,,,N,N,,1,Christianity,65,4
cob,Chicomuceltec,N,,,,N,,1,N,,,,N,Y,,,,,
dig,Chidigo,L,2,2,1,Y,566000,3,N,,2007,1982-2000,Y,Y,,6,Islam,0.24,0.17
dug,Chiduruma,L,1,1,5,N,459000,3,N,,1999,1992,Y,Y,,1,Christianity,65,24
cgg,Chiga,L,1,1,5,N,2705000,4,N,1989,1964,1907-1962,N,Y,,1,Christianity,98,47
clc,Chilcotin,L,1,1,5,N,2940,2,N,,,1993,Y,Y,,1,Christianity,96,20
csg,Chilean Sign Language,L,1,1,,N,,1,N,,,,N,N,,,,,
clh,Chilisso,L,7,,1,Y,3450,0,Y,,,,N,N,,6,Islam,0,
cbg,Chimila,L,1,1,4,N,500,2,N,,,2009,N,Y,,4,Ethnic Religions,45,4
anl,"Chin, Anu-Hkongso",L,1,1,5,N,5060,1,N,,,,N,N,,1,Christianity,65,38
csh,"Chin, Asho",L,3,3,5,N,172000,4,N,2009,1954,1921-1986,Y,Y,,2,Buddhism,30.32,25.28
bgr,"Chin, Bawm",L,2,,3,N,7700,4,N,1989,1977,1961,N,Y,,1,Christianity,97.66,
cbl,"Chin, Bualkhaw",L,1,1,4,N,2720,3,Y,,2011,2009,N,N,,1,Christianity,60,4
cnb,"Chin, Chinbon",L,2,2,4,N,31100,1,N,,,,N,Y,,4,Ethnic Religions,10,8
dao,"Chin, Daai",L,1,1,4,N,42600,3,N,,1996,1996,N,Y,,4,Ethnic Religions,12,5
cek,"Chin, Eastern Khumi",L,1,1,4,N,13700,2,N,,,2007-2010,N,N,,1,Christianity,50,4
cfm,"Chin, Falam",L,7,3,5,N,98700,4,N,1991-2011,1951-2006,1933-1994,Y,Y,389,1,Christianity,61,25
cnh,"Chin, Hakha",L,3,3,5,N,193000,4,N,1978-2005,1940-2009,1920-1992,N,Y,327,1,Christianity,65,35
ckn,"Chin, Kaang",L,1,1,5,N,1150,3,N,,2014,Yes,N,N,,1,Christianity,95,90
cnk,"Chin, Khumi",L,3,2,5,N,77400,4,N,2015,1959-1999,1935-1950,Y,Y,,1,Christianity,80,44
clj,"Chin, Laitu",L,1,1,4,N,17400,1,N,,,,N,Y,,2,Buddhism,25,3
clt,"Chin, Lautu",L,1,1,4,N,17600,1,N,,,,N,Y,,1,Christianity,85,4
mrh,"Chin, Mara",L,19,,3,N,32600,4,N,1956-2002,1928-1968,1912-1954,N,Y,,1,Christianity,98.69,
hlt,"Chin, Matu",L,1,1,5,N,33700,3,N,,1999-2000,Yes,N,Y,,1,Christianity,80,44
mwq,"Chin, Muun",L,1,1,4,N,17000,4,N,2000,1999,Yes,Y,Y,,4,Ethnic Religions,10,4
cnw,"Chin, Ngawn",L,1,1,5,N,22800,3,N,,2006,1951,N,Y,,1,Christianity,68,38
pck,"Chin, Paite",L,42,,3,N,85700,4,N,1971-2005,1951,1940-1960,Y,Y,,1,Christianity,97.32,
weu,"Chin, Rawngtu",L,1,1,5,N,5620,1,N,,,,N,N,,1,Christianity,100,100
rtc,"Chin, Rungtu",L,,,,N,,0,Y,,,,N,N,,,,,
sez,"Chin, Senthang",L,1,1,4,N,35600,1,N,,,,N,Y,,1,Christianity,65,10
csy,"Chin, Siyin",L,1,1,5,N,13200,4,N,2004,1999,Yes,N,Y,326,1,Christianity,84,44
csj,"Chin, Songlai",L,1,1,3,N,8210,0,Y,,,,N,N,,2,Buddhism,10,2
csv,"Chin, Sumtu",L,1,1,4,N,16200,1,N,,,,N,N,,1,Christianity,60,3
tcp,"Chin, Tawr",L,1,1,5,N,990,0,Y,,,,N,Y,,1,Christianity,60,12
ctd,"Chin, Tedim",L,1,1,5,N,254000,4,N,1977-2010,1935-2000,1915-1964,N,Y,368,1,Christianity,70,44
tcz,"Chin, Thado",L,60,,3,N,237000,4,N,1971-1994,1942-1983,1924-1978,Y,Y,,1,Christianity,98.89,
cth,"Chin, Thaiphum",L,1,1,4,N,1170,0,Y,,,,N,N,,1,Christianity,80,3
czt,"Chin, Zotung",L,1,1,5,N,53700,3,N,,2004,1951,N,Y,,1,Christianity,75,42
zyp,"Chin, Zyphe",L,2,2,5,N,21700,3,N,,2010,Yes,N,Y,930,1,Christianity,63.32,34.09
cih,Chinali,L,3,,1,Y,690,1,N,,,,N,Y,,2,Buddhism,0,
csa,"Chinantec, Chiltepec",N,1,1,4,N,50,0,Y,,,,N,N,,1,Christianity,96,4
cco,"Chinantec, Comaltepec",L,1,1,2,N,3100,3,N,,2002,1976-1990,N,Y,738,1,Christianity,95,1.5
cnl,"Chinantec, Lalana",L,1,1,5,N,14000,3,N,,1974-2012,1962-1968,N,Y,836,1,Christianity,95,15
cle,"Chinantec, Lealao",L,1,1,5,N,3100,3,N,,1980-2008,1972,N,Y,217,1,Christianity,96,15
chj,"Chinantec, Ojitlan",L,1,1,4,N,49600,3,N,,1968-2003,1955-1965,N,Y,,1,Christianity,96,2.6
chz,"Chinantec, Ozumacin",L,1,1,5,N,4110,3,N,,2003,1990,N,N,710,1,Christianity,95,15
cpa,"Chinantec, Palantla",L,1,1,4,N,29900,3,N,,1973,1965-1990,N,Y,219,1,Christianity,94,8
chq,"Chinantec, Quiotepec",L,1,1,2,N,10800,3,N,,1983,1968,Y,Y,771,1,Christianity,95,0.6
cso,"Chinantec, Sochiapam",L,1,1,5,N,4690,3,N,,1986,1969,N,Y,750,1,Christianity,95,11
cnt,"Chinantec, Tepetotutla",L,1,1,4,N,2420,3,N,,1994,1974,Y,Y,726,1,Christianity,95,10
cte,"Chinantec, Tepinapa",L,1,1,2,N,3020,1,N,,,,N,Y,,1,Christianity,95,2
ctl,"Chinantec, Tlacoatzintepec",L,1,1,5,N,2250,2,N,,,1991-2008,Y,Y,,1,Christianity,95,49
cuc,"Chinantec, Usila",L,1,1,5,N,9690,3,N,,1983,1964-1968,Y,Y,769,1,Christianity,95,50
cvn,"Chinantec, Valle Nacional",L,1,1,5,N,580,0,Y,,,,N,N,,1,Christianity,95,50
cpi,Chinese Pidgin English,L,,,,N,,0,Y,,,,N,N,,,,,
csl,Chinese Sign Language,L,1,1,,N,,1,N,,,,N,N,,,,,
gan,"Chinese, Gan",L,1,1,4,N,40877000,0,Y,,,,N,N,,4,Ethnic Religions,8,6.5
hak,"Chinese, Hakka",L,24,22,4,N,43698000,4,Y,1916,1883-1993,1860-1995,Y,Y,139,4,Ethnic Religions,2.88,2.12
czh,"Chinese, Huizhou",L,1,1,4,N,5208000,0,Y,,,,N,Y,,4,Ethnic Religions,7,5
cjy,"Chinese, Jinyu",L,1,1,4,N,61674000,0,Y,,,,N,N,,7,Non-Religious,8,6
cmn,"Chinese, Mandarin",L,152,99,4,N,887445000,4,N,1874-1983,1857-1981,1864-1986,Y,Y,414,7,Non-Religious,8.37,6.66
mnp,"Chinese, Min Bei",L,6,6,4,N,3390000,3,Y,,1934,1934,N,Y,48,7,Non-Religious,9.55,8.23
cdo,"Chinese, Min Dong",L,6,5,4,N,10497000,4,Y,1884-1905,1856,1852,Y,Y,48,7,Non-Religious,9.8,8.81
nan,"Chinese, Min Nan",L,29,18,4,N,65336000,4,Y,1884-1933,1896-1974,1875-1916,Y,Y,48,4,Ethnic Religions,9.51,6.46
czo,"Chinese, Min Zhong",L,1,1,4,N,3510000,0,Y,,,,N,N,,7,Non-Religious,5,4.59
cpx,"Chinese, Pu-Xian",L,3,3,4,N,3042000,4,Y,1912,1900,1892,N,Y,414,7,Non-Religious,5.07,4.41
wuu,"Chinese, Wu",L,9,8,4,N,91918000,4,Y,1908-1914,1868-1908,1847-1908,Y,Y,139,4,Ethnic Religions,13.39,9.99
