"ROL3","Language","ROG3","EditName","EditDate"
"dge","Degenan","PP","BM",9/17/2008 0:00:00
"dgg","Doga","PP","BM",9/17/2008 0:00:00
"dgh","Dghwede","NI","BM",12/17/2010 0:00:00
"dgi","Dagara, Northern","UV","BM",6/27/2013 0:00:00
"dgk","Dagba","CT","BM",9/17/2008 0:00:00
"dgl","Andaandi","SU","BM",5/17/2013 0:00:00
"dgo","Dogri","IN","BM",6/27/2013 0:00:00
"dgr","Dogrib","CA","BM",6/27/2013 0:00:00
"dgs","Dogoso","UV","BM",9/17/2008 0:00:00
"dgu","Degaru","IN","BM",9/17/2008 0:00:00
"dgw","Daungwurrung","AS","BM",5/17/2013 0:00:00
"dgx","Doghoro","PP","BM",9/17/2008 0:00:00
"dgz","Daga","PP","BM",6/27/2013 0:00:00
"dhd","Dhundari","IN","BM",9/17/2008 0:00:00
"dhg","Dhangu-Djangu","AS","BM",6/27/2013 0:00:00
"dhi","Dhimal","NP","BM",12/17/2010 0:00:00
"dhl","Dhalandji","AS","BM",9/17/2008 0:00:00
"dhm","Dhimba","AO","BM",6/27/2013 0:00:00
"dhn","Dhanki","IN","BM",9/17/2008 0:00:00
"dho","Dhodia","IN","BM",9/17/2008 0:00:00
"dhr","Dhargari","AS","BM",9/17/2008 0:00:00
"dhs","Dhaiso","TZ","BM",9/17/2008 0:00:00
"dhv","Drehu","NC","BM",6/27/2013 0:00:00
"dhw","Danuwar","NP","BM",5/16/2013 0:00:00
"dhx","Dhungaloo","AS","BM",5/17/2013 0:00:00
"dia","Dia","PP","BM",9/17/2008 0:00:00
"dib","Dinka, South Central","OD","BM",6/27/2013 0:00:00
"dic","Dida, Lakota","IV","BM",9/17/2008 0:00:00
"did","Didinga","OD","BM",6/27/2013 0:00:00
"dif","Dieri","AS","BM",6/27/2013 0:00:00
"dig","Chidigo","KE","BM",6/27/2013 0:00:00
"dih","Kumiai","MX","BM",9/17/2008 0:00:00
"dii","Dimbong","CM","BM",9/17/2008 0:00:00
"dij","Dai","ID","BM",9/17/2008 0:00:00
"dik","Dinka, Southwestern","OD","BM",12/17/2010 0:00:00
"dil","Dilling","SU","BM",9/17/2008 0:00:00
"dim","Dime","ET","BM",9/17/2008 0:00:00
"dio","Dibo","NI","BM",9/17/2008 0:00:00
"dip","Dinka, Northeastern","OD","BM",6/27/2013 0:00:00
"diq","Zazaki, Southern","TU","BM",5/16/2013 0:00:00
"dir","Dirim","NI","BM",9/17/2008 0:00:00
"dis","Dimasa","IN","BM",6/27/2013 0:00:00
"diu","Diriku","WA","BM",6/27/2013 0:00:00
"div","Maldivian","MV","BM",9/17/2008 0:00:00
"diw","Dinka, Northwestern","OD","BM",9/17/2008 0:00:00
"dix","Dixon Reef","NH","BM",9/17/2008 0:00:00
"diy","Diuwe","ID","BM",9/17/2008 0:00:00
"diz","Ding","CG","BM",9/17/2008 0:00:00
"djb","Djinba","AS","BM",9/17/2008 0:00:00
"djc","Daju, Dar Daju","CD","BM",12/17/2010 0:00:00
"djd","Djamindjung","AS","BM",9/17/2008 0:00:00
"dje","Zarma","NG","BM",6/27/2013 0:00:00
"dji","Djinang","AS","BM",6/27/2013 0:00:00
"djj","Djeebbana","AS","BM",9/17/2008 0:00:00
"djk","Aukan","NS","BM",6/27/2013 0:00:00
"djm","Dogon, Jamsay","ML","BM",9/17/2008 0:00:00
"djn","Djauan","AS","BM",9/17/2008 0:00:00
"djo","Jangkang","ID","BM",9/17/2008 0:00:00
"djr","Djambarrpuyngu","AS","BM",6/27/2013 0:00:00
"dju","Kapriman","PP","BM",9/17/2008 0:00:00
"dka","Dakpakha","BT","BM",9/17/2008 0:00:00
"dkk","Dakka","ID","BM",9/17/2008 0:00:00
"dkr","Kuijau","MY","BM",9/17/2008 0:00:00
"dks","Dinka, Southeastern","OD","BM",6/27/2013 0:00:00
"dkx","Mazagway","CM","BM",12/17/2010 0:00:00
"dlg","Dolgan","RS","BM",6/27/2013 0:00:00
"dlk","Dahalik","ER","BM",5/17/2013 0:00:00
"dln","Darlong","IN","BM",6/27/2013 0:00:00
"dma","Duma","GB","BM",9/17/2008 0:00:00
"dmb","Dogon, Mombo","ML","BM",5/17/2013 0:00:00
"dmc","Gavak","PP","BM",5/16/2013 0:00:00
"dme","Dugwor","CM","BM",9/17/2008 0:00:00
"dmg","Kinabatangan, Upper","MY","BM",6/27/2013 0:00:00
"dmk","Domaaki","PK","BM",9/17/2008 0:00:00
"dml","Dameli","PK","BM",9/17/2008 0:00:00
"dmm","Dama","CM","BM",9/17/2008 0:00:00
"dmo","Kemedzung","CM","BM",5/16/2013 0:00:00
"dmr","Damar, East","ID","BM",9/17/2008 0:00:00
"dms","Dampelas","ID","BM",9/17/2008 0:00:00
"dmu","Tebi","ID","BM",9/17/2008 0:00:00
"dmv","Dumpas","MY","BM",9/17/2008 0:00:00
"dmw","Mudburra","AS","BM",5/17/2013 0:00:00
"dmx","Dema","MZ","BM",9/17/2008 0:00:00
"dmy","Sowari","ID","BM",9/17/2008 0:00:00
"dna","Dani, Upper Grand Valley","ID","BM",12/17/2010 0:00:00
"dnd","Daonda","PP","BM",9/17/2008 0:00:00
"dne","Ndendeule","TZ","BM",9/17/2008 0:00:00
"dng","Dungan","KG","BM",6/27/2013 0:00:00
"dni","Dani, Lower Grand Valley","ID","BM",6/27/2013 0:00:00
"dnj","Dan","IV","BM",6/27/2013 0:00:00
"dnk","Dengka","ID","BM",12/17/2010 0:00:00
"dnn","Dzuungoo","UV","BM",12/17/2010 0:00:00
"dnr","Danaru","PP","BM",9/17/2008 0:00:00
"dnt","Dani, Mid Grand Valley","ID","BM",6/27/2013 0:00:00
"dnu","Danau","BM","BM",9/17/2008 0:00:00
"dnv","Danu","BM","BM",5/17/2013 0:00:00
"dnw","Dani, Western","ID","BM",12/17/2010 0:00:00
"dny","Deni","BR","BM",12/17/2010 0:00:00
"doa","Dom","PP","BM",12/17/2010 0:00:00
"dob","Dobu","PP","BM",6/27/2013 0:00:00
"doc","Dong, Northern","CH","BM",9/17/2008 0:00:00
"doe","Doe","TZ","BM",9/17/2008 0:00:00
"dof","Domu","PP","BM",9/17/2008 0:00:00
"doh","Dong","NI","BM",9/17/2008 0:00:00
"dok","Dondo","ID","BM",9/17/2008 0:00:00
"dol","Doso","PP","BM",9/17/2008 0:00:00
"don","Toura","PP","BM",9/17/2008 0:00:00
"doo","Dongo","CG","BM",9/17/2008 0:00:00
"dop","Lukpa","BN","BM",6/27/2013 0:00:00
"doq","Dominican Sign Language","DR","BM",9/17/2008 0:00:00
"dor","Dori'o","BP","BM",5/16/2013 0:00:00
"dos","Dogose","UV","BM",12/17/2010 0:00:00
"dot","Dass","NI","BM",9/17/2008 0:00:00
"dov","Dombe","ZI","BM",9/17/2008 0:00:00
"dow","Doyayo","CM","BM",12/17/2010 0:00:00
"dox","Bussa","ET","BM",9/17/2008 0:00:00
"doy","Dompo","GH","BM",9/17/2008 0:00:00
"doz","Dorze","ET","BM",9/17/2008 0:00:00
"dpp","Papar","MY","BM",9/17/2008 0:00:00
"drb","Dair","SU","BM",9/17/2008 0:00:00
"drc","Minderico","PO","BM",5/17/2013 0:00:00
"drd","Darmiya","IN","BM",9/17/2008 0:00:00
"dre","Dolpo","NP","BM",9/17/2008 0:00:00
"drg","Rungus","MY","BM",6/27/2013 0:00:00
"dri","C'lela","NI","BM",6/27/2013 0:00:00
"drl","Paakantyi","AS","BM",5/16/2013 0:00:00
"drn","Damar, West","ID","BM",9/17/2008 0:00:00
"dro","Melanau, Daro-Matu","MY","BM",9/17/2008 0:00:00
"drq","Dura","NP","BM",5/31/2013 0:00:00
"drs","Gedeo","ET","BM",12/17/2010 0:00:00
"drt","Drents","NL","BM",12/17/2010 0:00:00
"dru","Rukai","TW","BM",12/17/2010 0:00:00
"dry","Darai","NP","BM",12/17/2010 0:00:00
"dsb","Sorbian, Lower","GM","BM",6/27/2013 0:00:00
"dse","Sign Language of the Netherlands","NL","BM",5/16/2013 0:00:00
"dsh","Daasanach","ET","BM",9/25/2014 0:00:00
"dsi","Disa","CD","BM",9/17/2008 0:00:00
"dsl","Danish Sign Language","DA","BM",9/17/2008 0:00:00
"dsn","Dusner","ID","BM",9/17/2008 0:00:00
"dso","Desiya","IN","BM",9/17/2008 0:00:00
"dsq","Tadaksahak","ML","BM",9/17/2008 0:00:00
"dta","Daur","CH","BM",9/17/2008 0:00:00
"dtb","Kadazan, Labuk-Kinabatangan","MY","BM",6/27/2013 0:00:00
"dtd","Ditidaht","CA","BM",5/17/2013 0:00:00
"dti","Dogon, Ana Tinga","ML","BM",9/17/2008 0:00:00
"dtk","Dogon, Tene Kan","ML","BM",9/17/2008 0:00:00
"dtm","Dogon, Tomo Kan","ML","BM",9/17/2008 0:00:00
"dtn","Daats'iin","ET","BM",7/26/2016 0:00:00
"dto","Dogon, Tommo So","ML","BM",5/17/2013 0:00:00
"dtp","Dusun, Kadazan","MY","BM",6/27/2013 0:00:00
"dtr","Lotud","MY","BM",12/17/2010 0:00:00
"dts","Dogon, Toro So","ML","BM",6/27/2013 0:00:00
"dtt","Dogon, Toro Tegu","ML","BM",9/17/2008 0:00:00
"dtu","Dogon, Tebul Ure","ML","BM",9/17/2008 0:00:00
"dty","Dotyali","NP","BM",5/17/2013 0:00:00
"dua","Duala","CM","BM",6/27/2013 0:00:00
"dub","Dubli","IN","BM",9/17/2008 0:00:00
"duc","Duna","PP","BM",12/17/2010 0:00:00
"dud","Hun-Saare","NI","BM",6/27/2013 0:00:00
"due","Agta, Umiray Dumaget","RP","BM",6/27/2013 0:00:00
"duf","Drubea","NC","BM",5/16/2013 0:00:00
"dug","Chiduruma","KE","BM",6/27/2013 0:00:00
"duh","Dungra Bhil","IN","BM",12/17/2010 0:00:00
"dui","Dumun","PP","BM",9/17/2008 0:00:00
"duk","Uyajitaya","PP","BM",5/16/2013 0:00:00
"dul","Agta, Alabat Island","RP","BM",9/17/2008 0:00:00
"dun","Dusun Deyah","ID","BM",9/17/2008 0:00:00
"duo","Agta, Dupaninan","RP","BM",6/27/2013 0:00:00
"dup","Duano","ID","BM",9/17/2008 0:00:00
"duq","Dusun Malang","ID","BM",9/17/2008 0:00:00
"dur","Dii","CM","BM",12/17/2010 0:00:00
"dus","Dumi","NP","BM",9/17/2008 0:00:00
"duu","Drung","CH","BM",9/17/2008 0:00:00
"duv","Duvle","ID","BM",9/17/2008 0:00:00
"duw","Dusun Witu","ID","BM",9/17/2008 0:00:00
"dux","Duungooma","ML","BM",9/17/2008 0:00:00
"dva","Duau","PP","BM",9/17/2008 0:00:00
"dwa","Diri","NI","BM",9/17/2008 0:00:00
"dwr","Dawro","ET","BM",5/17/2013 0:00:00
"dwu","Dhuwal","AS","BM",3/29/2016 0:00:00
"dww","Dawawa","PP","BM",6/27/2013 0:00:00
"dwy","Dhuwaya","AS","BM",7/26/2016 0:00:00
"dya","Dyan","UV","BM",9/17/2008 0:00:00
"dyi","Senoufo, Djimini","IV","BM",6/27/2013 0:00:00
"dym","Dogon, Yanda Dom","ML","BM",9/17/2008 0:00:00
"dyn","Dyangadi","AS","BM",9/17/2008 0:00:00
"dyo","Jola-Fonyi","SG","BM",3/4/2013 0:00:00
"dyu","Jula","UV","BM",6/27/2013 0:00:00
"dyy","Dyaabugay","AS","BM",9/17/2008 0:00:00
"dza","Tunzuii","NI","BM",5/16/2013 0:00:00
"dzg","Dazaga","CD","BM",12/17/2010 0:00:00
"dzl","Dzalakha","BT","BM",9/17/2008 0:00:00
"dzn","Dzando","CG","BM",9/17/2008 0:00:00
"dzo","Dzongkha","BT","BM",4/30/2014 0:00:00
"eaa","Karenggapa","AS","BM",5/17/2013 0:00:00
"ebg","Ebughu","NI","BM",9/17/2008 0:00:00
"ebk","Bontok, Eastern","RP","BM",6/27/2013 0:00:00
"ebo","Teke-Eboo","CF","BM",6/27/2013 0:00:00
"ebr","Ebrie","IV","BM",6/27/2013 0:00:00
"ebu","Kiembu","KE","BM",9/17/2008 0:00:00
"ecs","Ecuadorian Sign Language","EC","BM",9/17/2008 0:00:00
"eee","E","CH","BM",9/17/2008 0:00:00
"efa","Efai","NI","BM",9/17/2008 0:00:00
"efe","Efe","CG","BM",9/17/2008 0:00:00
"efi","Efik","NI","BM",6/27/2013 0:00:00
"ega","Ega","IV","BM",9/17/2008 0:00:00
"egl","Emilian","IT","BM",5/17/2013 0:00:00
"ego","Eggon","NI","BM",12/17/2010 0:00:00
"ehu","Ehueun","NI","BM",9/17/2008 0:00:00
"eip","Lik","ID","BM",4/4/0201 0:00:00
"eit","Eitiep","PP","BM",9/17/2008 0:00:00
"eiv","Askopan","PP","BM",9/17/2008 0:00:00
"eja","Jola-Felupe","PU","BM",6/27/2013 0:00:00
"eka","Ekajuk","NI","BM",6/27/2013 0:00:00
"eke","Ekit","NI","BM",9/17/2008 0:00:00
"ekg","Ekari","ID","BM",6/27/2013 0:00:00
"eki","Eki","NI","BM",9/17/2008 0:00:00
"ekk","Estonian, Standard","EN","BM",6/27/2013 0:00:00
"ekl","Kol","BG","BM",5/17/2013 0:00:00
"ekm","Elip","CM","BM",12/17/2010 0:00:00
"eko","Koti","MZ","BM",6/27/2013 0:00:00
"ekp","Ekpeye","NI","BM",9/17/2008 0:00:00
"ekr","Yace","NI","BM",12/17/2010 0:00:00
"eky","Kayah, Eastern","BM","BM",9/17/2008 0:00:00
"ele","Elepi","PP","BM",9/17/2008 0:00:00
"elh","El Hugeirat","SU","BM",9/17/2008 0:00:00
"eli","Nding","SU","BM",3/7/2016 0:00:00
"elk","Elkei","PP","BM",9/17/2008 0:00:00
"ell","Greek","GR","BM",6/27/2013 0:00:00
"elm","Eleme","NI","BM",6/27/2013 0:00:00
"elo","El Molo","KE","BM",9/17/2008 0:00:00
"elu","Elu","PP","BM",9/17/2008 0:00:00
"ema","Emai-Iuleha-Ora","NI","BM",6/27/2013 0:00:00
"emb","Embaloh","ID","BM",12/17/2010 0:00:00
"eme","Emerillon","FG","BM",9/17/2008 0:00:00
"emg","Mewahang, Eastern","NP","BM",5/16/2013 0:00:00
"emi","Mussau-Emira","PP","BM",6/27/2013 0:00:00
"emk","Maninkakan, Eastern","GV","BM",6/27/2013 0:00:00
"emn","Eman","CM","BM",9/17/2008 0:00:00
"emp","Embera, Northern","PM","BM",6/27/2013 0:00:00
"ems","Yupik, Pacific Gulf","US","BM",9/13/2013 0:00:00
"emu","Muria, Eastern","IN","BM",9/17/2008 0:00:00
"emw","Emplawas","ID","BM",9/17/2008 0:00:00
"emx","Erromintxela","FR","BM",5/17/2013 0:00:00
"ena","Apali","PP","BM",6/27/2013 0:00:00
"enb","Markweeta","KE","BM",6/27/2013 0:00:00
"enc","En","VM","BM",9/17/2008 0:00:00
"end","Ende","ID","BM",9/13/2013 0:00:00
"enf","Enets, Forest","RS","BM",9/17/2008 0:00:00
"eng","English","UK","BM",6/27/2013 0:00:00
"enh","Enets, Tundra","RS","BM",9/17/2008 0:00:00
"enl","Enlhet","PA","BM",6/18/2014 0:00:00
"enn","Engenni","NI","BM",6/27/2013 0:00:00
"eno","Enggano","ID","BM",9/17/2008 0:00:00
"enq","Enga","PP","BM",6/27/2013 0:00:00
"enr","Emem","ID","BM",9/17/2008 0:00:00
"enu","Enu","CH","BM",9/17/2008 0:00:00
"env","Enwan","NI","BM",9/17/2008 0:00:00
"enw","Enwan","NI","BM",9/17/2008 0:00:00
"enx","Enxet","PA","BM",8/18/2015 0:00:00
"eot","Beti","IV","BM",9/17/2008 0:00:00
"epi","Epie","NI","BM",9/17/2008 0:00:00
"epo","Esperanto","PL","BM",6/27/2013 0:00:00
"era","Eravallan","IN","BM",9/17/2008 0:00:00
"erg","Sie","NH","BM",6/27/2013 0:00:00
"erh","Eruwa","NI","BM",9/17/2008 0:00:00
"eri","Ogea","PP","BM",6/27/2013 0:00:00
"erk","Efate, South","NH","BM",6/27/2013 0:00:00
"ero","Horpa","CH","BM",9/17/2008 0:00:00
"ers","Ersu","CH","BM",9/17/2008 0:00:00
"ert","Eritai","ID","BM",9/17/2008 0:00:00
"erw","Erokwanas","ID","BM",9/17/2008 0:00:00
"ese","Ese Ejja","BL","BM",6/27/2013 0:00:00
"esg","Gondi, Aheri","IN","BM",3/29/2016 0:00:00
"esh","Eshtehardi","IR","BM",9/17/2008 0:00:00
"esi","Inupiatun, North Alaskan","US","BM",6/27/2013 0:00:00
"esk","Inupiatun, Northwest Alaska","US","BM",6/27/2013 0:00:00
"esl","Egyptian Sign Language","EG","BM",9/17/2008 0:00:00
"esn","Salvadoran Sign Language","ES","BM",9/17/2008 0:00:00
"eso","Estonian Sign Language","EN","BM",9/17/2008 0:00:00
"esq","Esselen","US","BM",5/31/2013 0:00:00
"ess","Yupik, Central Siberian","US","BM",6/27/2013 0:00:00
"esu","Yupik, Central","US","BM",6/27/2013 0:00:00
"etb","Etebi","NI","BM",9/17/2008 0:00:00
"eth","Ethiopian Sign Language","ET","BM",9/17/2008 0:00:00
"etn","Eton","NH","BM",9/17/2008 0:00:00
"eto","Eton","CM","BM",9/17/2008 0:00:00
"etr","Edolo","PP","BM",6/27/2013 0:00:00
"ets","Yekhee","NI","BM",6/27/2013 0:00:00
"etu","Ejagham","NI","BM",6/27/2013 0:00:00
"etx","Iten","NI","BM",12/17/2010 0:00:00
"etz","Semimi","ID","BM",9/17/2008 0:00:00
"eus","Basque","SP","BM",6/27/2013 0:00:00
"eve","Even","RS","BM",6/27/2013 0:00:00
"evh","Uvbie","NI","BM",9/17/2008 0:00:00
"evn","Evenki","CH","BM",12/17/2010 0:00:00
"ewe","Ewe","GH","BM",6/27/2013 0:00:00
"ewo","Ewondo","CM","BM",6/27/2013 0:00:00
"ext","Extremaduran","SP","BM",9/17/2008 0:00:00
"eya","Eyak","US","BM",5/31/2013 0:00:00
"eyo","Keiyo","KE","BM",9/17/2008 0:00:00
"eza","Ezaa","NI","BM",6/27/2013 0:00:00
"eze","Uzekwe","NI","BM",9/17/2008 0:00:00
"faa","Fasu","PP","BM",6/27/2013 0:00:00
"fab","Fa D'ambu","EK","BM",12/17/2010 0:00:00
"fad","Wagi","PP","BM",9/17/2008 0:00:00
"faf","Fagani","BP","BM",9/17/2008 0:00:00
"fag","Finongan","PP","BM",9/17/2008 0:00:00
"fah","Fali of Baissa","NI","BM",9/17/2008 0:00:00
"fai","Faiwol","PP","BM",6/27/2013 0:00:00
"faj","Faita","PP","BM",9/17/2008 0:00:00
"fak","Fang","CM","BM",9/17/2008 0:00:00
"fal","Fali, South","CM","BM",12/17/2010 0:00:00
"fam","Fam","NI","BM",9/17/2008 0:00:00
"fan","Fang","EK","BM",6/27/2013 0:00:00
"fao","Faroese","DA","BM",6/27/2013 0:00:00
"fap","Palor","SG","BM",9/17/2008 0:00:00
"far","Fataleka","BP","BM",12/17/2010 0:00:00
"fau","Fayu","ID","BM",9/17/2008 0:00:00
"fax","Fala","SP","BM",5/4/2016 0:00:00
"fay","Fars, Southwestern","IR","BM",9/17/2008 0:00:00
"faz","Fars, Northwestern","IR","BM",9/17/2008 0:00:00
"fbl","Bikol, West Albay","RP","BM",5/17/2013 0:00:00
"fcs","Quebec Sign Language","CA","BM",9/17/2008 0:00:00
"fer","Feroge","OD","BM",9/17/2008 0:00:00
"ffi","Foia Foia","PP","BM",9/17/2008 0:00:00
"ffm","Fulfulde, Maasina","ML","BM",6/27/2013 0:00:00
"fgr","Fongoro","CD","BM",9/17/2008 0:00:00
"fia","Nobiin","SU","BM",6/27/2013 0:00:00
"fie","Fyer","NI","BM",9/17/2008 0:00:00
"fij","Fijian","FJ","BM",6/27/2013 0:00:00
"fil","Filipino","RP","BM",6/27/2013 0:00:00
"fin","Finnish","FI","BM",6/27/2013 0:00:00
"fip","Fipa","TZ","BM",12/17/2010 0:00:00
"fir","Firan","NI","BM",6/27/2013 0:00:00
"fit","Finnish, Tornedalen","SW","BM",6/27/2013 0:00:00
"fiw","Fiwaga","PP","BM",9/17/2008 0:00:00
"fkk","Kirya-Konzel","NI","BM",5/17/2013 0:00:00
"fkv","Finnish, Kven","NO","BM",9/17/2008 0:00:00
"fla","Kalispel-Pend d'Oreille","US","BM",5/16/2013 0:00:00
"flh","Foau","ID","BM",9/17/2008 0:00:00
"fli","Fali","NI","BM",9/17/2008 0:00:00
"fll","Fali, North","CM","BM",9/17/2008 0:00:00
"flr","Fuliiru","CG","BM",6/27/2013 0:00:00
"fly","Flaaitaal","SF","BM",9/17/2008 0:00:00
"fmp","Fefe","CM","BM",12/17/2010 0:00:00
"fmu","Muria, Far Western","IN","BM",9/17/2008 0:00:00
"fnb","Fanbak","NH","BM",7/26/2016 0:00:00
"fng","Pidgin Bantu","SF","BM",5/16/2013 0:00:00
"fni","Fania","CD","BM",9/17/2008 0:00:00
"fod","Foodo","BN","BM",12/17/2010 0:00:00
"foi","Foi","PP","BM",6/27/2013 0:00:00
"fom","Foma","CG","BM",9/17/2008 0:00:00
"fon","Fon","BN","BM",6/27/2013 0:00:00
"for","Fore","PP","BM",6/27/2013 0:00:00
"fos","Siraya","TW","BM",6/27/2013 0:00:00
"fpe","Equatorial Guinean Pidgin","EK","BM",5/16/2013 0:00:00
"fqs","Fas","PP","BM",12/17/2010 0:00:00
"fra","French","FR","BM",6/27/2013 0:00:00
"frc","French, Cajun","US","BM",9/17/2008 0:00:00
"frd","Fordata","ID","BM",6/27/2013 0:00:00
"frp","Arpitan","FR","BM",5/16/2013 0:00:00
"frq","Forak","PP","BM",9/17/2008 0:00:00
"frr","Frisian, Northern","GM","BM",12/17/2010 0:00:00
"frs","Saxon, East Frisian Low","GM","BM",9/17/2008 0:00:00
"frt","Fortsenal","NH","BM",9/17/2008 0:00:00
"fry","Frisian","NL","BM",6/27/2013 0:00:00
"fse","Finnish Sign Language","FI","BM",12/17/2010 0:00:00
"fsl","French Sign Language","FR","BM",9/17/2008 0:00:00
"fss","Finland-Swedish Sign Language","FI","BM",9/17/2008 0:00:00
"fub","Fulfulde, Adamawa","CM","BM",6/27/2013 0:00:00
"fuc","Pulaar","SG","BM",6/27/2013 0:00:00
"fud","Futuna, East","WF","BM",6/27/2013 0:00:00
"fue","Fulfulde, Borgu","BN","BM",6/27/2013 0:00:00
"fuf","Pular","GV","BM",6/27/2013 0:00:00
"fuh","Fulfulde, Western Niger","NG","BM",6/27/2013 0:00:00
"fui","Fulfulde, Bagirmi","CD","BM",9/17/2008 0:00:00
"fuj","Ko","SU","BM",9/17/2008 0:00:00
"fum","Fum","NI","BM",9/17/2008 0:00:00
"fun","Iate","BR","BM",12/17/2010 0:00:00
"fuq","Fulfulde, Central-Eastern Niger","NG","BM",2/1/2016 0:00:00
"fur","Friulian","IT","BM",12/17/2010 0:00:00
"fut","Futuna-Aniwa","NH","BM",6/27/2013 0:00:00
"fuu","Furu","CG","BM",9/17/2008 0:00:00
"fuv","Fulfulde, Nigerian","NI","BM",6/27/2013 0:00:00
"fuy","Fuyug","PP","BM",6/27/2013 0:00:00
"fvr","Fur","SU","BM",9/17/2008 0:00:00
"fwa","Fwai","NC","BM",9/17/2008 0:00:00
"fwe","Fwe","WA","BM",9/17/2008 0:00:00
"gaa","Ga","GH","BM",6/27/2013 0:00:00
"gab","Gabri","CD","BM",12/17/2010 0:00:00
"gac","Great Andamanese, Mixed","IN","BM",5/17/2013 0:00:00
"gad","Gaddang","RP","BM",9/17/2008 0:00:00
"gae","Guarequena","VE","BM",9/17/2008 0:00:00
"gaf","Gende","PP","BM",9/17/2008 0:00:00
"gag","Gagauz","MD","BM",6/27/2013 0:00:00
"gah","Alekano","PP","BM",6/27/2013 0:00:00
"gai","Mbore","PP","BM",6/27/2013 0:00:00
"gaj","Gadsup","PP","BM",6/27/2013 0:00:00
"gak","Gamkonora","ID","BM",9/17/2008 0:00:00
"gal","Galolen","TT","BM",5/16/2013 0:00:00
"gam","Kandawo","PP","BM",6/27/2013 0:00:00
"gan","Chinese, Gan","CH","BM",9/17/2008 0:00:00
"gao","Gants","PP","BM",9/17/2008 0:00:00
"gap","Gal","PP","BM",9/17/2008 0:00:00
"gaq","Gata'","IN","BM",5/16/2013 0:00:00
"gar","Galeya","PP","BM",9/17/2008 0:00:00
"gas","Garasia, Adiwasi","IN","BM",6/27/2013 0:00:00
"gat","Kenati","PP","BM",12/17/2010 0:00:00
"gau","Gadaba, Mudhili","IN","BM",9/17/2008 0:00:00
"gaw","Nobonob","PP","BM",6/27/2013 0:00:00
"gax","Oromo, Borana-Arsi-Guji","ET","BM",6/27/2013 0:00:00
"gay","Gayo","ID","BM",9/17/2008 0:00:00
"gaz","Oromo, West Central","ET","BM",6/27/2013 0:00:00
"gbb","Kaytetye","AS","BM",9/17/2008 0:00:00
"gbd","Karadjeri","AS","BM",9/17/2008 0:00:00
"gbe","Niksek","PP","BM",9/17/2008 0:00:00
"gbf","Gaikundi","PP","BM",12/17/2010 0:00:00
"gbg","Gbanziri","CT","BM",9/17/2008 0:00:00
"gbh","Gbe, Defi","BN","BM",9/17/2008 0:00:00
"gbi","Galela","ID","BM",6/27/2013 0:00:00
"gbj","Gadaba, Bodo","IN","BM",2/11/2015 0:00:00
"gbk","Gaddi","IN","BM",9/17/2008 0:00:00
"gbl","Gamit","IN","BM",12/17/2010 0:00:00
"gbm","Garhwali","IN","BM",6/27/2013 0:00:00
"gbn","Mo'da","OD","BM",5/16/2013 0:00:00
"gbo","Grebo, Northern","LI","BM",6/27/2013 0:00:00
"gbp","Gbaya-Bossangoa","CT","BM",6/27/2013 0:00:00
"gbq","Gbaya-Bozoum","CT","BM",9/17/2008 0:00:00
"gbr","Gbagyi","NI","BM",6/27/2013 0:00:00
"gbs","Gbe, Gbesi","BN","BM",9/17/2008 0:00:00
"gbu","Gagadu","AS","BM",9/17/2008 0:00:00
"gbv","Gbanu","CT","BM",6/27/2013 0:00:00
"gbw","Gabi-Gabi","AS","BM",5/17/2013 0:00:00
"gbx","Gbe, Eastern Xwla","BN","BM",9/17/2008 0:00:00
"gby","Gbari","NI","BM",6/27/2013 0:00:00
"gbz","Dari, Zoroastrian","IR","BM",9/17/2008 0:00:00
"gcc","Mali","PP","BM",9/17/2008 0:00:00
"gcd","Ganggalida","AS","BM",9/17/2008 0:00:00
"gcf","Guadeloupean Creole French","GP","BM",9/17/2008 0:00:00
"gcl","Grenadian Creole English","GJ","BM",9/17/2008 0:00:00
"gcn","Gaina","PP","BM",9/17/2008 0:00:00
"gcr","Guianese Creole French","FG","BM",9/17/2008 0:00:00
"gct","German, Colonia Tovar","VE","BM",9/17/2008 0:00:00
"gda","Lohar, Gade","IN","BM",9/17/2008 0:00:00
"gdb","Gadaba, Pottangi Ollar","IN","BM",8/16/2013 0:00:00
"gdc","Gugu Badhun","AS","BM",5/31/2013 0:00:00
"gdd","Gedaged","PP","BM",6/27/2013 0:00:00
"gde","Gude","NI","BM",6/27/2013 0:00:00
"gdf","Guduf-Gava","NI","BM",12/17/2010 0:00:00
"gdg","Ga'dang","RP","BM",6/27/2013 0:00:00
"gdh","Gadjerawang","AS","BM",9/17/2008 0:00:00
"gdi","Gundi","CT","BM",9/17/2008 0:00:00
"gdj","Gurdjar","AS","BM",9/17/2008 0:00:00
"gdk","Gadang","CD","BM",9/17/2008 0:00:00
"gdl","Dirasha","ET","BM",9/17/2008 0:00:00
"gdm","Laal","CD","BM",9/17/2008 0:00:00
"gdn","Umanakaina","PP","BM",6/27/2013 0:00:00
"gdo","Ghodoberi","RS","BM",9/17/2008 0:00:00
"gdq","Mehri","YM","BM",12/17/2010 0:00:00
"gdr","Wipi","PP","BM",12/17/2010 0:00:00
"gds","Ghandruk Sign Language","NP","BM",5/17/2013 0:00:00
"gdu","Gudu","NI","BM",9/17/2008 0:00:00
