"ROL4","Dialect","DialectGerman","ROL3","ROPAL","Source","EditName","EditDate"
0,,,"xxx",,"Joshua Project","BM",4/1/2010 0:00:00
2,"South Vietnamese","Südliches Vietnamesisch","vie","vie03","GRN / ROD","BM",4/1/2010 0:00:00
5,"Western Aremenian",,"hye",,"GRN / ROD","BM",4/1/2010 0:00:00
7,"Aymara",,"ayr",,"GRN / ROD","BM",4/1/2010 0:00:00
8,"Nahuatl, Huasteca Occidental",,"nhw",,"GRN / ROD","BM",4/1/2010 0:00:00
9,"Mexicano, Sierra De Puebla",,"azz",,"GRN / ROD","BM",4/1/2010 0:00:00
10,"Bambara",,"bam",,"GRN / ROD","BM",4/1/2010 0:00:00
12,"Patzun",,"cak",,"GRN / ROD","BM",4/1/2010 0:00:00
13,"Cantonese",,"yue","yue10","GRN / ROD","BM",4/1/2010 0:00:00
14,"Tumbala",,"ctu",,"GRN / ROD","BM",4/1/2010 0:00:00
15,"Chorti",,"caa",,"GRN / ROD","BM",4/1/2010 0:00:00
16,"Chontal, Oaxaca de La Costa",,"clo",,"GRN / ROD","BM",4/1/2010 0:00:00
17,"Tapotzingo",,"chf",,"GRN / ROD","BM",4/1/2010 0:00:00
18,"Cocopah",,"coc",,"GRN / ROD","BM",4/1/2010 0:00:00
19,"Creole, Haiti",,"hat",,"GRN / ROD","BM",4/1/2010 0:00:00
21,"Netherlands",,"nld",,"GRN / ROD","BM",4/1/2010 0:00:00
22,"Children",,"eng",,"GRN / ROD","BM",4/1/2010 0:00:00
23,"FranÃ§ais",,"fra",,"ROD download, 11/2/2015","BM",11/4/2015 0:00:00
24,"German",,"deu",,"GRN / ROD","BM",4/1/2010 0:00:00
25,"USA",,"eng",,"GRN / ROD","BM",4/1/2010 0:00:00
31,"Kekchi",,"kek",,"GRN / ROD","BM",4/1/2010 0:00:00
32,"Kingwana",,"swc",,"GRN / ROD","BM",4/1/2010 0:00:00
33,"Kipsigis",,"niq",,"GRN / ROD","BM",4/1/2010 0:00:00
34,"Kirundi",,"run",,"GRN / ROD","BM",4/1/2010 0:00:00
35,"Bahasa Indonesia",,"ind",,"GRN / ROD","BM",4/1/2010 0:00:00
36,"Ostuncalco",,"mam",,"GRN / ROD","BM",4/1/2010 0:00:00
37,"Mandarin",,"cmn",,"GRN / ROD","BM",4/1/2010 0:00:00
40,"Mazahua",,"maz",,"GRN / ROD","BM",4/1/2010 0:00:00
41,"Huautla",,"mau",,"ROD download, 11/2/2015","BM",11/4/2015 0:00:00
43,"San Miguel el Grande",,"mig",,"ROD download, 11/2/2015","BM",11/4/2015 0:00:00
44,"Moore",,"mos",,"ROD download, 11/2/2015","BM",11/4/2015 0:00:00
46,"Hnahnu, Mezquital",,"ote",,"GRN / ROD","BM",4/1/2010 0:00:00
47,"Brasil","Brasilianisches Portugiesisch","por","por05","GRN / ROD","BM",4/1/2010 0:00:00
48,"Totonicapan",,"quc",,"GRN / ROD","BM",4/1/2010 0:00:00
52,"Mexico",,"spa",,"GRN / ROD","BM",4/1/2010 0:00:00
56,"Mèfaa, Tlacoapa",,"tpl",,"GRN / ROD","BM",4/1/2010 0:00:00
57,"Totonac, Sierra",,"tos",,"GRN / ROD","BM",4/1/2010 0:00:00
58,"Oxchuc",,"tzh",,"ROD download, 11/2/2015","BM",11/4/2015 0:00:00
59,"Saban",,"snv",,"GRN / ROD","BM",4/1/2010 0:00:00
60,"Zinacantan",,"tzo",,"GRN / ROD","BM",4/1/2010 0:00:00
66,"Zapotec, Istmo",,"zai",,"GRN / ROD","BM",4/1/2010 0:00:00
67,"Zapotec, Villa Alta",,"zav",,"GRN / ROD","BM",4/1/2010 0:00:00
68,"Copainala",,"zoc",,"ROD download, 11/2/2015","BM",11/4/2015 0:00:00
70,"Ilokano",,"ilo",,"ROD download, 11/2/2015","BM",11/4/2015 0:00:00
72,"Yiddish",,"ydd",,"GRN / ROD","BM",4/1/2010 0:00:00
74,"Kibanza",,"mmz",,"GRN / ROD","BM",4/1/2010 0:00:00
75,"Kikamba",,"kam",,"GRN / ROD","BM",4/1/2010 0:00:00
77,"Kisukuma",,"suk",,"GRN / ROD","BM",4/1/2010 0:00:00
79,"Sudan",,"zne",,"GRN / ROD","BM",4/1/2010 0:00:00
80,"Kikuyu",,"kik",,"GRN / ROD","BM",4/1/2010 0:00:00
82,"Popoluca, Sierra",,"poi",,"GRN / ROD","BM",4/1/2010 0:00:00
84,"Quichua, Chimborazo",,"qug",,"GRN / ROD","BM",4/1/2010 0:00:00
85,"Na",,"lhu","lhu01","GRN / ROD","BM",4/1/2010 0:00:00
86,"Wa",,"prk",,"GRN / ROD","BM",4/1/2010 0:00:00
87,"Cameroun",,"bas",,"GRN / ROD","BM",4/1/2010 0:00:00
89,"Gbi",,"bbp",,"GRN / ROD","BM",4/1/2010 0:00:00
90,"Kabuli",,"pbt",,"GRN / ROD","BM",4/1/2010 0:00:00
93,"Sheetswa",,"tsc",,"GRN / ROD","BM",4/1/2010 0:00:00
94,"Lonkutu",,"nkw",,"GRN / ROD","BM",4/1/2010 0:00:00
97,"Quechua, Bolivia",,"quh",,"GRN / ROD","BM",4/1/2010 0:00:00
98,"Muslim",,"pan",,"GRN","BM",3/11/2014 0:00:00
99,"Kasai",,"lua",,"GRN / ROD","BM",4/1/2010 0:00:00
100,"Embun",,"zmp",,"GRN / ROD","BM",4/1/2010 0:00:00
101,"Northern",,"nod",,"ROD download, 11/2/2015","BM",11/4/2015 0:00:00
104,"Hmong, Flowery",,"hmd",,"GRN / ROD","BM",4/1/2010 0:00:00
107,"Knik",,"tfn",,"GRN","BM",3/11/2014 0:00:00
108,"Western Lisu",,"lis",,"GRN / ROD","BM",4/1/2010 0:00:00
109,"Kodiak",,"ale",,"GRN / ROD","BM",4/1/2010 0:00:00
111,"Eskimo Diomede",,"esk",,"GRN / ROD","BM",4/1/2010 0:00:00
112,"Assyrian",,"aii",,"GRN / ROD","BM",4/1/2010 0:00:00
113,"Foochow Colloquial Chinese",,"cdo",,"GRN / ROD","BM",4/1/2010 0:00:00
114,"Popoloca, Otlaltepec",,"pow",,"GRN / ROD","BM",4/1/2010 0:00:00
115,"Greek",,"ell",,"ROD download, 11/2/2015","BM",11/4/2015 0:00:00
116,"Kituba",,"ktu",,"ROD download, 11/2/2015","BM",11/4/2015 0:00:00
119,"Malemute",,"esk",,"GRN / ROD","BM",4/1/2010 0:00:00
120,"Pribilofs",,"ale",,"GRN / ROD","BM",4/1/2010 0:00:00
121,"Copper River Indian",,"aht",,"GRN / ROD","BM",4/1/2010 0:00:00
122,"Fort Yukon",,"gwi",,"GRN / ROD","BM",4/1/2010 0:00:00
123,"Tsimpshean",,"tsi",,"GRN / ROD","BM",4/1/2010 0:00:00
124,"Haida",,"hdn",,"GRN / ROD","BM",4/1/2010 0:00:00
125,"Thlinget",,"tli",,"GRN / ROD","BM",4/1/2010 0:00:00
126,"Nenana",,"taa",,"GRN","BM",3/11/2014 0:00:00
129,"Central",,"gux",,"GRN / ROD","BM",4/1/2010 0:00:00
134,"Butembo",,"nnb",,"GRN / ROD","BM",4/1/2010 0:00:00
135,"Tanzania",,"swh",,"GRN / ROD","BM",4/1/2010 0:00:00
136,"Eastern Bengali",,"ben",,"GRN / ROD","BM",4/1/2010 0:00:00
137,"Yagoua",,"mcn","mcn01","GRN / ROD","BM",4/1/2010 0:00:00
138,"Gbari",,"gbr",,"GRN / ROD","BM",4/1/2010 0:00:00
140,"Icibemba",,"bem",,"GRN / ROD","BM",4/1/2010 0:00:00
143,"Dinka, Padang",,"dip",,"GRN / ROD","BM",4/1/2010 0:00:00
144,"Malinke",,"mlq",,"GRN / ROD","BM",4/1/2010 0:00:00
145,"Otetela",,"tll",,"GRN / ROD","BM",4/1/2010 0:00:00
151,"Congo",,"swc",,"ROD download, 11/2/2015","BM",11/4/2015 0:00:00
152,"Northern Sotho",,"nso",,"GRN / ROD","BM",4/1/2010 0:00:00
153,"Luo",,"luo",,"GRN / ROD","BM",4/1/2010 0:00:00
154,"West-Central",,"lia",,"ROD download, 11/2/2015","BM",11/4/2015 0:00:00
155,"Temne",,"tem",,"GRN / ROD","BM",4/1/2010 0:00:00
157,"Ao Naga",,"njo",,"GRN / ROD","BM",4/1/2010 0:00:00
158,"Eskimo, Kuskokwim",,"kuu",,"GRN / ROD","BM",4/1/2010 0:00:00
160,"Labrador",,"ike",,"GRN / ROD","BM",4/1/2010 0:00:00
163,"Ikiribati",,"gil",,"GRN / ROD","BM",4/1/2010 0:00:00
164,"Eastern Fulfulde, Adamawa",,"fub",,"GRN / ROD","BM",4/1/2010 0:00:00
166,"Chokwe",,"cjk",,"GRN / ROD","BM",4/1/2010 0:00:00
167,"Otomi, Sierras",,"otm",,"GRN / ROD","BM",4/1/2010 0:00:00
168,"Fioti",,"kng",,"GRN / ROD","BM",4/1/2010 0:00:00
169,"Assam",,"grt",,"GRN / ROD","BM",4/1/2010 0:00:00
170,"Bwamu",,"box",,"GRN / ROD","BM",4/1/2010 0:00:00
171,"Kijita",,"jit",,"GRN / ROD","BM",4/1/2010 0:00:00
173,"South",,"azb",,"ROD download, 11/2/2015","BM",11/4/2015 0:00:00
175,"Jingpho",,"kac",,"ROD download, 11/2/2015","BM",11/4/2015 0:00:00
177,"Putu",,"krn",,"GRN / ROD","BM",4/1/2010 0:00:00
180,"Ava",,"gui",,"ROD download, 11/2/2015","BM",11/4/2015 0:00:00
182,"Amdo",,"adx",,"GRN / ROD","BM",4/1/2010 0:00:00
183,"Bannock",,"pao",,"GRN / ROD","BM",4/1/2010 0:00:00
185,"Amoy",,"nan",,"GRN / ROD","BM",4/1/2010 0:00:00
186,"Teochew",,"nan",,"GRN / ROD","BM",4/1/2010 0:00:00
187,"Chimanyika",,"mxc",,"GRN / ROD","BM",4/1/2010 0:00:00
188,"Wellega",,"gaz",,"GRN / ROD","BM",4/1/2010 0:00:00
190,"Akawoia",,"ake",,"GRN / ROD","BM",4/1/2010 0:00:00
192,"Itbayat",,"ivb",,"GRN / ROD","BM",4/1/2010 0:00:00
194,"Cree, Western",,"crk",,"GRN / ROD","BM",4/1/2010 0:00:00
197,"Yakima",,"yak",,"GRN / ROD","BM",4/1/2010 0:00:00
198,"Northern Cheyenne",,"chy",,"GRN / ROD","BM",4/1/2010 0:00:00
199,"Gouro",,"goa",,"GRN / ROD","BM",4/1/2010 0:00:00
200,"Blackfoot",,"bla",,"ROD download, 11/2/2015","BM",11/4/2015 0:00:00
201,"Laizo-chin",,"cfm",,"GRN / ROD","BM",4/1/2010 0:00:00
203,"Winnebago",,"win",,"GRN / ROD","BM",4/1/2010 0:00:00
204,"Tigrinya",,"tir",,"GRN / ROD","BM",4/1/2010 0:00:00
206,"Kipende",,"pem",,"GRN / ROD","BM",4/1/2010 0:00:00
207,"Luchazi",,"lch",,"GRN / ROD","BM",4/1/2010 0:00:00
208,"Imandaya",,"isd",,"GRN / ROD","BM",4/1/2010 0:00:00
213,"Omaha",,"oma","oma01","GRN / ROD","BM",4/1/2010 0:00:00
215,"Kroo",,"klu",,"GRN / ROD","BM",4/1/2010 0:00:00
216,"Isleta",,"tix",,"GRN / ROD","BM",4/1/2010 0:00:00
218,"Colville",,"oka",,"GRN / ROD","BM",4/1/2010 0:00:00
219,"Benguet",,"kne",,"GRN / ROD","BM",4/1/2010 0:00:00
220,"Tinggian Group",,"tiu",,"GRN / ROD","BM",4/1/2010 0:00:00
223,"Upper Tanudan",,"kml",,"ROD download, 11/2/2015","BM",11/4/2015 0:00:00
225,"Ngambai",,"sba",,"GRN / ROD","BM",4/1/2010 0:00:00
226,"Kpelle",,"xpe",,"GRN / ROD","BM",4/1/2010 0:00:00
227,"Bontoc Group",,"lbk",,"ROD download, 11/2/2015","BM",11/4/2015 0:00:00
230,"Shoshone",,"shh",,"GRN / ROD","BM",4/1/2010 0:00:00
231,"Seminole",,"mus",,"GRN / ROD","BM",4/1/2010 0:00:00
232,"Rizal",,"itv",,"GRN / ROD","BM",4/1/2010 0:00:00
233,"Kiangan",,"ifk",,"GRN / ROD","BM",4/1/2010 0:00:00
234,"Cashibo",,"cbr",,"GRN / ROD","BM",4/1/2010 0:00:00
236,"Kilega",,"lea",,"GRN / ROD","BM",4/1/2010 0:00:00
237,"Pima",,"ood",,"GRN / ROD","BM",4/1/2010 0:00:00
238,"Karen, Sgaw",,"ksw",,"GRN / ROD","BM",4/1/2010 0:00:00
239,"Zanniat",,"cfm",,"GRN / ROD","BM",4/1/2010 0:00:00
241,"Yunnanese",,"cmn",,"GRN / ROD","BM",4/1/2010 0:00:00
242,"Mauchi",,"bhb",,"GRN / ROD","BM",4/1/2010 0:00:00
243,"Guajiro",,"guc",,"GRN / ROD","BM",4/1/2010 0:00:00
244,"Sesotho",,"sot",,"GRN / ROD","BM",4/1/2010 0:00:00
248,"Manipuri",,"mni",,"GRN / ROD","BM",4/1/2010 0:00:00
249,"Guarao",,"wba",,"GRN / ROD","BM",4/1/2010 0:00:00
250,"Hooper Bay",,"esk",,"GRN / ROD","BM",4/1/2010 0:00:00
251,"Southern Arapaho",,"arp",,"GRN / ROD","BM",4/1/2010 0:00:00
252,"Mauchi",,"mke",,"GRN / ROD","BM",4/1/2010 0:00:00
255,"San Blas",,"cuk",,"ROD download, 11/2/2015","BM",11/4/2015 0:00:00
257,"Palawano, Brookes Point",,"plw",,"GRN / ROD","BM",4/1/2010 0:00:00
258,"Agutayanon",,"agn",,"GRN / ROD","BM",4/1/2010 0:00:00
259,"Silanganon",,"tbk",,"GRN / ROD","BM",4/1/2010 0:00:00
260,"Cagayanon",,"sjm",,"GRN / ROD","BM",4/1/2010 0:00:00
261,"Calamiano",,"tbk",,"GRN / ROD","BM",4/1/2010 0:00:00
264,"Ilanon",,"mdh","mdh05","GRN / ROD","BM",4/1/2010 0:00:00
266,"Iregwe",,"iri",,"GRN / ROD","BM",4/1/2010 0:00:00
267,"Manobo, Lianon",,"mbi",,"GRN / ROD","BM",4/1/2010 0:00:00
268,"Chabakano",,"cbk",,"GRN / ROD","BM",4/1/2010 0:00:00
270,"Maguindanao",,"mdh",,"ROD download, 11/2/2015","BM",11/4/2015 0:00:00
271,"Caluya",,"clu",,"GRN / ROD","BM",4/1/2010 0:00:00
273,"Matigsalug",,"mbt",,"GRN / ROD","BM",4/1/2010 0:00:00
278,"Rukuba",,"ruk",,"GRN / ROD","BM",4/1/2010 0:00:00
279,"Surigueno",,"sgd",,"GRN","BM",3/11/2014 0:00:00
280,"Dibabawon",,"mry",,"GRN","BM",3/11/2014 0:00:00
282,"Tagakaolo",,"klg",,"GRN / ROD","BM",4/1/2010 0:00:00
283,"Davaweno",,"daw",,"GRN / ROD","BM",4/1/2010 0:00:00
284,"Isamal",,"kqe",,"GRN / ROD","BM",4/1/2010 0:00:00
286,"Wolayta",,"wal",,"GRN / ROD","BM",4/1/2010 0:00:00
289,"Bilaan, Koronadal",,"bpr",,"GRN / ROD","BM",4/1/2010 0:00:00
291,"Yinzebi",,"nzb",,"GRN / ROD","BM",4/1/2010 0:00:00
292,"Mongolian",,"khk",,"GRN / ROD","BM",4/1/2010 0:00:00
293,"Sama, Siasi",,"sml",,"GRN / ROD","BM",4/1/2010 0:00:00
296,"Subanon, Margosatubig",,"laa",,"GRN / ROD","BM",4/1/2010 0:00:00
298,"Gio",,"dnj",,"ROD download, 11/2/2015","BM",11/4/2015 0:00:00
299,"Tirurai",,"tiy",,"GRN / ROD","BM",4/1/2010 0:00:00
300,"Binokid",,"bkd",,"GRN / ROD","BM",4/1/2010 0:00:00
301,"Aklanon",,"akl",,"GRN / ROD","BM",4/1/2010 0:00:00
302,"Eastern Maranao",,"mrw",,"GRN / ROD","BM",4/1/2010 0:00:00
303,"Kibira",,"brf",,"GRN / ROD","BM",4/1/2010 0:00:00
305,"Ru-unda",,"rnd",,"GRN / ROD","BM",4/1/2010 0:00:00
306,"Amuesha",,"ame",,"GRN / ROD","BM",4/1/2010 0:00:00
307,"Southern Shilluk",,"shk",,"GRN / ROD","BM",4/1/2010 0:00:00
308,"Angami Naga",,"njm",,"GRN / ROD","BM",4/1/2010 0:00:00
311,"Northeastern",,"tts",,"ROD download, 11/2/2015","BM",11/4/2015 0:00:00
312,"Sudan",,"xom",,"GRN / ROD","BM",4/1/2010 0:00:00
313,"Gwama",,"kmq",,"GRN / ROD","BM",4/1/2010 0:00:00
314,"Raday",,"rad",,"GRN / ROD","BM",4/1/2010 0:00:00
315,"Tchien",,"kqo",,"GRN / ROD","BM",4/1/2010 0:00:00
316,"Twarbo",,"glr","glr02","GRN / ROD","BM",4/1/2010 0:00:00
321,"Eskimo, Central Arctic",,"ikt",,"GRN / ROD","BM",4/1/2010 0:00:00
322,"Darjeeling",,"npi",,"ROD download, 11/2/2015","BM",11/4/2015 0:00:00
324,"Palanan",,"prf",,"GRN","BM",3/11/2014 0:00:00
327,"Fulacunda",,"fuc","fuc02","GRN / ROD","BM",4/1/2010 0:00:00
328,"Walapai",,"yuf",,"GRN / ROD","BM",4/1/2010 0:00:00
329,"Havasupai",,"yuf",,"GRN / ROD","BM",4/1/2010 0:00:00
333,"Chewa",,"nya",,"ROD download, 11/2/2015","BM",11/4/2015 0:00:00
334,"Southern Karen, Pa'o","Südliches Pa'o","blk","blk01","GRN / ROD","BM",4/1/2010 0:00:00
335,"Bicol",,"bcl",,"ROD download, 11/2/2015","BM",11/4/2015 0:00:00
336,"San Carlos",,"apw",,"GRN / ROD","BM",4/1/2010 0:00:00
340,"Hakka",,"hak",,"GRN / ROD","BM",4/1/2010 0:00:00
343,"Okene",,"igb","igb01","GRN / ROD","BM",4/1/2010 0:00:00
344,"Bassa",,"nup",,"GRN / ROD","BM",4/1/2010 0:00:00
345,"Sinhalese",,"sin",,"GRN / ROD","BM",4/1/2010 0:00:00
346,"Naja",,"lac",,"GRN / ROD","BM",4/1/2010 0:00:00
347,"Lyele",,"lee",,"Gerry Gutierrez","BM",7/19/2016 0:00:00
349,"Kurdi, Kurmanji",,"kmr",,"GRN / ROD","BM",4/1/2010 0:00:00
350,"Menye",,"mcr",,"GRN / ROD","BM",4/1/2010 0:00:00
351,"Lappish",,"smn",,"GRN / ROD","BM",4/1/2010 0:00:00
352,"Karanga",,"sna","sna04","GRN / ROD","BM",4/1/2010 0:00:00
353,"Point Barrow Inupiatun",,"esi",,"GRN / ROD","BM",4/1/2010 0:00:00
354,"Lumuila & Handa",,"nyk",,"GRN / ROD","BM",4/1/2010 0:00:00
355,"Yambeki",,"ssx",,"GRN / ROD","BM",4/1/2010 0:00:00
356,"Tabare",,"sst",,"GRN / ROD","BM",4/1/2010 0:00:00
358,"Wahgi Group",,"wgi",,"GRN / ROD","BM",4/1/2010 0:00:00
359,"Malagasy,  Merina",,"plt",,"GRN / ROD","BM",4/1/2010 0:00:00
361,"Luunda",,"rnd",,"GRN / ROD","BM",4/1/2010 0:00:00
362,"Temboka",,"med","med01","GRN / ROD","BM",4/1/2010 0:00:00
363,"Samarenyo",,"war",,"GRN / ROD","BM",4/1/2010 0:00:00
364,"Union",,"ibo",,"GRN / ROD","BM",4/1/2010 0:00:00
365,"Khmer",,"khm",,"GRN / ROD","BM",4/1/2010 0:00:00
366,"Hainanese","Hainanesisch","nan","nan06","GRN / ROD","BM",4/1/2010 0:00:00
367,"Iranxe",,"irn",,"GRN / ROD","BM",4/1/2010 0:00:00
369,"Central",,"poc",,"GRN / ROD","BM",4/1/2010 0:00:00
371,"Chirripo",,"cjp",,"GRN / ROD","BM",4/1/2010 0:00:00
373,"Wai-wai",,"waw",,"GRN / ROD","BM",4/1/2010 0:00:00
374,"Western Tzutujil",,"tzj",,"GRN / ROD","BM",4/1/2010 0:00:00
375,"Nagipaem",,"aoj",,"GRN / ROD","BM",4/1/2010 0:00:00
377,"Supare",,"aoj",,"GRN / ROD","BM",4/1/2010 0:00:00
378,"Muhiang Group",,"aoj",,"GRN / ROD","BM",4/1/2010 0:00:00
379,"Hiri Motu",,"hmo",,"GRN / ROD","BM",4/1/2010 0:00:00
381,"Palai",,"tei",,"GRN / ROD","BM",4/1/2010 0:00:00
382,"Urat Group",,"urt",,"GRN / ROD","BM",4/1/2010 0:00:00
383,"Lundaye",,"lnd",,"GRN / ROD","BM",4/1/2010 0:00:00
384,"Kadazan",,"dtp",,"GRN / ROD","BM",4/1/2010 0:00:00
385,"Lower",,"bcf",,"GRN / ROD","BM",4/1/2010 0:00:00
386,"Upper",,"bcf",,"GRN / ROD","BM",4/1/2010 0:00:00
392,"Aguacateco",,"agu",,"GRN / ROD","BM",4/1/2010 0:00:00
394,"San Sebastian Coatan",,"cac",,"GRN / ROD","BM",4/1/2010 0:00:00
396,"Shanghai",,"wuu",,"GRN / ROD","BM",4/1/2010 0:00:00
397,"Majingai",,"mwm",,"GRN / ROD","BM",4/1/2010 0:00:00
400,"Chin, Hakha",,"cnh",,"GRN / ROD","BM",4/1/2010 0:00:00
401,"Asho Chin",,"csh",,"GRN / ROD","BM",4/1/2010 0:00:00
404,"Kayah",,"kyu",,"GRN / ROD","BM",4/1/2010 0:00:00
405,"Sranan Tongo",,"srn",,"GRN / ROD","BM",4/1/2010 0:00:00
407,"Oriental",,"poh",,"GRN / ROD","BM",4/1/2010 0:00:00
408,"Tagal",,"mvv",,"GRN / ROD","BM",4/1/2010 0:00:00
413,"Maravo",,"mvo",,"GRN / ROD","BM",4/1/2010 0:00:00
415,"Moulmein",,"blk",,"GRN / ROD","BM",4/1/2010 0:00:00
416,"Karen, Pwo",,"pwo",,"GRN / ROD","BM",4/1/2010 0:00:00
417,"Yao",,"ium",,"GRN / ROD","BM",4/1/2010 0:00:00
421,"Hing Hwa",,"cpx",,"GRN / ROD","BM",4/1/2010 0:00:00
424,"Yaramanda",,"kyc",,"GRN / ROD","BM",4/1/2010 0:00:00
426,"Yaru",,"irh",,"GRN / ROD","BM",4/1/2010 0:00:00
427,"Katia [papua New Guinea]",,"kqa",,"GRN / ROD","BM",4/1/2010 0:00:00
429,"Buang",,"bzh",,"GRN / ROD","BM",4/1/2010 0:00:00
433,"Darat",,"tmw",,"GRN / ROD","BM",4/1/2010 0:00:00
434,"Belgium",,"nld",,"GRN / ROD","BM",4/1/2010 0:00:00
435,"Mumeng",,"tbx",,"ROD download, 11/2/2015","BM",11/4/2015 0:00:00
437,"Hotec",,"hot",,"GRN / ROD","BM",4/1/2010 0:00:00
439,"Nafik",,"srf",,"GRN / ROD","BM",4/1/2010 0:00:00
440,"Kalabu",,"abt",,"GRN / ROD","BM",4/1/2010 0:00:00
441,"Graged",,"gdd",,"GRN / ROD","BM",4/1/2010 0:00:00
443,"Alema",,"khz",,"GRN / ROD","BM",4/1/2010 0:00:00
444,"Maprik",,"abt",,"GRN / ROD","BM",4/1/2010 0:00:00
445,"Jabem",,"jae",,"GRN / ROD","BM",4/1/2010 0:00:00
448,"Rabinal",,"acr",,"GRN / ROD","BM",4/1/2010 0:00:00
449,"Bena Bena",,"bef",,"GRN / ROD","BM",4/1/2010 0:00:00
450,"Sepen",,"spm",,"GRN / ROD","BM",4/1/2010 0:00:00
451,"Bundi",,"gaf",,"GRN / ROD","BM",4/1/2010 0:00:00
454,"Misima",,"mpx",,"GRN / ROD","BM",4/1/2010 0:00:00
455,"Aselo Group",,"aso",,"GRN / ROD","BM",4/1/2010 0:00:00
457,"Gahuku",,"gah",,"GRN / ROD","BM",4/1/2010 0:00:00
458,"Kedzo",,"snp",,"GRN / ROD","BM",4/1/2010 0:00:00
459,"Fore Group",,"for",,"GRN / ROD","BM",4/1/2010 0:00:00
460,"Karobe",,"kbx",,"ROD download, 11/2/2015","BM",11/4/2015 0:00:00
461,"Kamano-kafe",,"kbq",,"GRN / ROD","BM",4/1/2010 0:00:00
462,"Jate",,"ino",,"GRN / ROD","BM",4/1/2010 0:00:00
464,"Tairora Group",,"tbg",,"GRN / ROD","BM",4/1/2010 0:00:00
466,"Foe",,"foi",,"GRN / ROD","BM",4/1/2010 0:00:00
468,"Waola Group",,"akh",,"GRN / ROD","BM",4/1/2010 0:00:00
469,"Hus",,"anx",,"GRN / ROD","BM",4/1/2010 0:00:00
470,"Sori",,"sbh",,"GRN / ROD","BM",4/1/2010 0:00:00
471,"Pitilu",,"lek",,"GRN / ROD","BM",4/1/2010 0:00:00
472,"Pak",,"pkg",,"GRN / ROD","BM",4/1/2010 0:00:00
473,"Kowul",,"fai",,"GRN / ROD","BM",4/1/2010 0:00:00
474,"Gizra",,"tof",,"GRN / ROD","BM",4/1/2010 0:00:00
476,"Medlpa",,"med",,"GRN / ROD","BM",4/1/2010 0:00:00
477,"Baba Malay",,"mbf",,"GRN / ROD","BM",4/1/2010 0:00:00
478,"Ndrehet",,"tlx",,"GRN / ROD","BM",4/1/2010 0:00:00
480,"Lessau",,"lid",,"GRN / ROD","BM",4/1/2010 0:00:00
481,"Malay",,"zsm",,"GRN / ROD","BM",4/1/2010 0:00:00
482,"Southern Lisu",,"lis",,"GRN / ROD","BM",4/1/2010 0:00:00
483,"Epera Pedea, Darien",,"emp",,"GRN / ROD","BM",4/1/2010 0:00:00
486,"Nebaj",,"ixl",,"GRN / ROD","BM",4/1/2010 0:00:00
487,"Khamet",,"lbn",,"GRN / ROD","BM",4/1/2010 0:00:00
488,"Thailand",,"kjg",,"GRN / ROD","BM",4/1/2010 0:00:00
489,"Mountain",,"ksw",,"GRN / ROD","BM",4/1/2010 0:00:00
490,"Hod",,"pww",,"GRN / ROD","BM",4/1/2010 0:00:00
491,"White",,"mww",,"GRN / ROD","BM",4/1/2010 0:00:00
492,"Blue",,"hnj",,"GRN / ROD","BM",4/1/2010 0:00:00
494,"Daima",,"dij",,"ROD download, 11/2/2015","BM",11/4/2015 0:00:00
495,"Labo",,"lbu",,"GRN / ROD","BM",4/1/2010 0:00:00
497,"Yangura",,"bek",,"GRN / ROD","BM",4/1/2010 0:00:00
498,"Sina",,"sst",,"GRN / ROD","BM",4/1/2010 0:00:00
499,"Koriki",,"iar",,"GRN / ROD","BM",4/1/2010 0:00:00
500,"Bwasilaki",,"tbo",,"GRN / ROD","BM",4/1/2010 0:00:00
502,"Ewage",,"nou",,"GRN / ROD","BM",4/1/2010 0:00:00
503,"Binandere",,"aez",,"GRN / ROD","BM",4/1/2010 0:00:00
504,"Tidi",,"nxr",,"GRN / ROD","BM",4/1/2010 0:00:00
507,"Hockchia",,"mnp",,"GRN / ROD","BM",4/1/2010 0:00:00
508,"Tai Ya",,"tdd",,"GRN / ROD","BM",4/1/2010 0:00:00
509,"Tingau I",,"sbc",,"GRN / ROD","BM",4/1/2010 0:00:00
510,"Manus Island",,"lle",,"GRN / ROD","BM",4/1/2010 0:00:00
511,"Bukawa",,"buk",,"GRN / ROD","BM",4/1/2010 0:00:00
512,"West Olo",,"ong",,"GRN / ROD","BM",4/1/2010 0:00:00
513,"Kela",,"kcl",,"GRN / ROD","BM",4/1/2010 0:00:00
515,"Inabu",,"bjh",,"ROD download, 11/2/2015","BM",11/4/2015 0:00:00
516,"Aitape",,"tmq",,"GRN / ROD","BM",4/1/2010 0:00:00
518,"Yakamul",,"ykm",,"GRN / ROD","BM",4/1/2010 0:00:00
519,"Up-River Abau",,"aau",,"Gerry Gutierrez","BM",7/19/2016 0:00:00
520,"Suan",,"svb",,"GRN / ROD","BM",4/1/2010 0:00:00
522,"Belarupu",,"snc",,"GRN / ROD","BM",4/1/2010 0:00:00
524,"Atsera",,"adz",,"GRN / ROD","BM",4/1/2010 0:00:00
526,"Taimi",,"tmy",,"GRN / ROD","BM",4/1/2010 0:00:00
531,"Nhommarath",,"sss",,"GRN / ROD","BM",4/1/2010 0:00:00
532,"Kenedibi",,"knv",,"GRN / ROD","BM",4/1/2010 0:00:00
